DATETIME,LOAD,ACT_HEAT_INDEX,ACT_HUMIDITY,ACT_RAIN,ACT_TEMP,COOL_FACTOR,Hour,Minute,DayOfWeek,Month,Is_Weekend,Is_Peak,Load_48h_Ago,Load_1w_Ago,Temp_48h_Ago,Regime,Naive_Forecast,Raw_Forecast,Forecast,Optimized_Penalty,Abs_Deviation
2021-05-07 23:45:00,1607.749676,39.79984447,83.09,0,30.37,3.37,23,45,4,5,0,0,1626.823044,1520.7294,30.31,2,1520.7294,1573.3464788667468,1547.7102472524905,240.15771499003768,60.03942874750942
2021-05-08 00:00:00,1601.573184,39.69330353,83.18,0,30.33,3.33,0,0,5,5,1,0,1620.857304,1497.595644,30.23,2,1497.595644,1552.0186358497797,1526.7299217917384,299.3730488330466,74.84326220826165
2021-05-08 00:15:00,1586.098152,39.45589756,83.39,0,30.24,3.24,0,15,5,5,1,0,1601.394092,1486.8316,30.04,2,1486.8316,1541.0064871549084,1515.8972059162138,280.8037843351449,70.20094608378622
2021-05-08 00:30:00,1566.718472,39.20481628,83.34,0,30.17,3.17,0,30,5,5,1,0,1576.712428,1471.433672,30.03,2,1471.433672,1518.1596167065109,1493.4226041768027,293.18347129278936,73.29586782319734
2021-05-08 00:45:00,1542.669452,38.76563287,83.32,0,30.04,3.04,0,45,5,5,1,0,1552.252108,1450.29198,29.93,2,1450.29198,1499.3505570322652,1474.920020804333,270.99772478266823,67.74943119566706
2021-05-08 01:00:00,1513.825356,38.82581516,83.63,0,30.03,3.03,1,0,5,5,1,0,1525.780512,1426.577508,29.85,2,1426.577508,1465.92023735597,1442.0344173934452,287.1637544262194,71.79093860655485
2021-05-08 01:15:00,1483.341676,38.80860273,84.24,0,29.97,2.97,1,15,5,5,1,0,1494.166724,1401.945804,29.72,2,1401.945804,1453.8027107020152,1430.114334674482,212.90936530207182,53.227341325517955
2021-05-08 01:30:00,1455.059028,38.85819924,84.63,0,29.95,2.95,1,30,5,5,1,0,1460.490184,1375.595868,29.69,2,1375.595868,1439.194002370968,1415.7436617891492,157.2614648434028,39.3153662108507
2021-05-08 01:45:00,1425.760604,38.55254054,85.08,0,29.82,2.82,1,45,5,5,1,0,1435.49512,1350.70386,29.72,2,1350.70386,1435.9743451340687,1412.5764659011975,52.73655239521031,13.184138098802578
2021-05-08 02:00:00,1400.401172,38.51715709,85.19,0,29.8,2.8,2,0,5,5,1,0,1409.596156,1327.880756,29.73,2,1327.880756,1370.3037760965185,1347.9759382948896,209.70093482044194,52.425233705110486
2021-05-08 02:15:00,1373.704152,37.71307107,85.06,0,29.57,2.57,2,15,5,5,1,0,1382.803248,1306.418524,29.7,2,1306.418524,1363.0328989865495,1340.8235334299943,131.52247428002283,32.88061857000571
2021-05-08 02:30:00,1350.982776,37.13247702,84.23,0,29.46,2.46,2,30,5,5,1,0,1360.272208,1284.294708,29.66,2,1284.294708,1324.8114429076074,1303.2248607708746,191.031660916502,47.7579152291255
2021-05-08 02:45:00,1327.860956,36.73169164,83.91,0,29.36,2.36,2,45,5,5,1,0,1334.54858,1266.018112,29.65,2,1266.018112,1294.2631286754242,1273.1743031800927,218.74661127962918,54.686652819907295
2021-05-08 03:00:00,1307.617788,36.54539731,83.67,0,29.32,2.32,3,0,5,5,1,0,1314.915488,1247.148648,29.64,2,1247.148648,1252.1159834112584,1231.7139068249467,303.6155247002134,75.90388117505336
2021-05-08 03:15:00,1286.13338,36.54037102,83.65,0,29.32,2.32,3,15,5,5,1,0,1294.566428,1230.41594,29.58,2,1230.41594,1244.7756914833044,1224.4932181925851,246.56064722965948,61.64016180741487
2021-05-08 03:30:00,1271.34922,36.75382432,83.75,0,29.38,2.38,3,30,5,5,1,0,1275.600288,1213.721488,29.56,2,1213.721488,1242.1260453770717,1221.886745628981,197.84989748407588,49.46247437101897
2021-05-08 03:45:00,1253.489084,36.99527834,83.95,0,29.44,2.44,3,45,5,5,1,0,1258.54798,1198.5324,29.51,2,1198.5324,1238.5863964415644,1218.404772012396,140.33724795041599,35.084311987603996
2021-05-08 04:00:00,1234.115644,37.02796928,84.32,0,29.42,2.42,4,0,5,5,1,0,1241.424936,1183.920584,29.44,2,1183.920584,1208.1265987550166,1188.4412886716739,182.6974213133044,45.6743553283261
2021-05-08 04:15:00,1221.000788,36.60633489,84.92,0,29.24,2.24,4,15,5,5,1,0,1224.279628,1172.749356,29.27,2,1172.749356,1194.1826964586032,1174.724589419014,185.1047943239446,46.27619858098615
2021-05-08 04:30:00,1212.999604,36.43545072,85.13,0,29.17,2.17,4,30,5,5,1,0,1217.739388,1164.010588,29.25,2,1164.010588,1194.5319835390997,1175.068185188273,151.7256752469084,37.9314188117271
2021-05-08 04:45:00,1209.828144,35.95446283,85.1,0,29.02,2.02,4,45,5,5,1,0,1211.86172,1161.146516,29.26,2,1161.146516,1184.7743378333766,1165.4695313312507,177.4344506749976,44.3586126687494
2021-05-08 05:00:00,1209.893288,35.83169396,85.38,0,28.96,1.96,5,0,5,5,1,0,1215.1894,1164.126048,29.23,2,1164.126048,1183.649498023859,1164.363019750304,182.12107299878426,45.530268249696064
2021-05-08 05:15:00,1211.89138,35.84096949,85.42,0,28.96,1.96,5,15,5,5,1,0,1218.848092,1165.520304,29.2,2,1165.520304,1182.5370486290847,1163.2686966937054,194.4907332251787,48.622683306294675
2021-05-08 05:30:00,1207.933736,36.06526239,85.17,0,29.05,2.05,5,30,5,5,1,0,1218.229936,1166.9248,29.23,2,1166.9248,1181.1443277094324,1161.8986688785599,184.14026848576032,46.03506712144008
2021-05-08 05:45:00,1196.004732,36.09011677,85.01,0,29.07,2.07,5,45,5,5,1,0,1208.333128,1158.7464,29.2,2,1158.7464,1170.9935845091134,1151.9133226885215,176.3656372459145,44.09140931147863
2021-05-08 06:00:00,1175.935156,36.23057798,85.07,0,29.11,2.11,6,0,5,5,1,0,1188.628552,1149.273608,29.14,2,1149.273608,1128.1876428090443,1109.804864378557,264.5211664857716,66.1302916214429
2021-05-08 06:15:00,1151.211528,36.14070498,85.09,0,29.08,2.08,6,15,5,5,1,0,1164.528156,1130.91024,29.12,2,1130.91024,1111.70480299512,1093.590597256539,230.48372297384412,57.62093074346103
2021-05-08 06:30:00,1128.83384,36.1025941,85.46,0,29.04,2.04,6,30,5,5,1,0,1142.249884,1108.598828,29.12,2,1108.598828,1110.3569599874977,1092.2647161091854,146.27649556325832,36.56912389081458
2021-05-08 06:45:00,1117.998868,36.08428549,85.65,0,29.02,2.02,6,45,5,5,1,0,1129.030912,1092.795,29.12,2,1092.795,1103.2416678269917,1085.2653610803156,130.93402767873704,32.73350691968426
2021-05-08 07:00:00,1106.990168,36.23179996,86.27,0,29.02,2.02,7,0,5,5,1,0,1122.627496,1080.990968,29.06,2,1080.990968,1085.2404577995753,1067.5574641888159,157.73081524473673,39.43270381118418
2021-05-08 07:15:00,1108.350112,36.28994469,86.11,0,29.05,2.05,7,15,5,5,1,0,1127.758192,1075.563972,29.09,2,1075.563972,1085.9609237099307,1068.266190770806,160.3356849167767,40.083921229194175
2021-05-08 07:30:00,1112.32788,36.67558548,85.97,0,29.18,2.18,7,30,5,5,1,0,1136.300508,1074.126748,29.21,2,1074.126748,1089.580762175157,1071.827047302588,162.00333078964832,40.50083269741208
2021-05-08 07:45:00,1120.21866,37.80269252,84.55,0,29.64,2.64,7,45,5,5,1,0,1147.994212,1073.236392,29.64,2,1073.236392,1097.0828928948144,1079.2069377126172,164.04688914953113,41.01172228738278
2021-05-08 08:00:00,1128.422452,38.12408493,82.92,0,29.88,2.88,8,0,5,5,1,0,1162.916196,1073.355328,29.92,2,1073.355328,1074.1519653881842,1056.6496485473097,287.0912138107615,71.77280345269037
2021-05-08 08:15:00,1142.85532,40.15545036,81.01,0,30.68,3.68,8,15,5,5,1,0,1189.725964,1080.418488,30.52,2,1080.418488,1103.6556987238976,1085.6726457251334,228.73069709946594,57.182674274866486
2021-05-08 08:30:00,1161.31512,40.46210751,78.82,0,31.0,4.0,8,30,5,5,1,0,1217.11476,1089.253228,30.69,2,1089.253228,1108.2573790066115,1090.1993458663926,284.4630965344295,71.11577413360737
2021-05-08 08:45:00,1177.730492,40.49968556,78.46,0,31.05,4.05,8,45,5,5,1,0,1241.384528,1096.473796,31.29,2,1096.473796,1131.317496788949,1112.8837202708662,259.3870869165348,64.8467717291337
2021-05-08 09:00:00,1192.09136,41.41022387,77.71,0,31.41,4.41,9,0,5,5,1,0,1264.296248,1104.577524,31.71,2,1104.577524,1182.5780016046408,1163.3089823782477,115.1295104870087,28.782377621752175
2021-05-08 09:15:00,1210.162528,42.42784078,74.8,0,32.06,5.06,9,15,5,5,1,0,1297.63312,1113.87958,32.18,2,1113.87958,1193.9990268865845,1174.5439125734874,142.47446170605053,35.61861542651263
2021-05-08 09:30:00,1231.218784,42.71425568,72.54,0,32.43,5.43,9,30,5,5,1,0,1329.983124,1123.139412,32.3,2,1123.139412,1202.9820667469153,1183.3805820738544,191.35280770458212,47.83820192614553
2021-05-08 09:45:00,1248.206304,44.0499066,69.21,0,33.29,6.29,9,45,5,5,1,0,1354.564544,1130.711092,32.84,2,1130.711092,1213.0194588155068,1193.2544240844454,219.8075196622185,54.95187991555463
2021-05-08 10:00:00,1257.462668,43.71728152,66.62,0,33.55,6.55,10,0,5,5,1,0,1372.219024,1133.75696,33.34,2,1133.75696,1307.1287474744754,1285.830288571739,56.735241143478106,28.367620571739053
2021-05-08 10:15:00,1266.864688,44.88247669,65.02,0,34.16,7.16,10,15,5,5,1,0,1392.875808,1138.83926,33.88,2,1138.83926,1317.9748163405375,1296.4996307362833,59.269885472566784,29.634942736283392
2021-05-08 10:30:00,1276.440276,43.35299984,63.67,0,33.86,6.86,10,30,5,5,1,0,1408.410928,1143.964424,34.6,2,1143.964424,1322.983543037632,1301.4267448455444,49.972937691088646,24.986468845544323
2021-05-08 10:45:00,1287.9827,45.7209292,62.62,0,34.8,7.8,10,45,5,5,1,0,1420.674288,1146.900036,35.15,2,1146.900036,1328.582727477104,1306.9346957321598,37.90399146431946,18.95199573215973
2021-05-08 11:00:00,1298.523644,46.56388083,61.32,0,35.28,8.28,11,0,5,5,1,0,1430.693492,1151.091948,35.02,2,1151.091948,1353.8562967836267,1331.7964555071114,66.54562301422266,33.27281150711133
2021-05-08 11:15:00,1306.222572,50.97804267,63.76,0,36.2,9.2,11,15,5,5,1,0,1439.928452,1157.889364,34.93,2,1157.889364,1357.230775853792,1335.115950549167,57.78675709833442,28.89337854916721
2021-05-08 11:30:00,1314.37336,49.7981176,62.35,0,36.1,9.1,11,30,5,5,1,0,1449.87898,1161.387392,35.27,2,1161.387392,1350.8703867126849,1328.85919809036,28.971676180719896,14.485838090359948
2021-05-08 11:45:00,1324.306152,51.07560841,64.33,0,36.13,9.13,11,45,5,5,1,0,1456.8835,1163.837024,35.46,2,1163.837024,1351.6708228912366,1329.6465918986892,10.680879797378111,5.3404398986890556
2021-05-08 12:00:00,1330.105192,51.36061529,64.8,0,36.13,9.13,12,0,5,5,1,0,1460.452668,1164.342396,35.45,2,1164.342396,1353.772811965405,1331.7143309971023,3.218277994204527,1.6091389971022636
2021-05-08 12:15:00,1341.864592,51.12914983,65.48,0,35.95,8.95,12,15,5,5,1,0,1460.968948,1173.441124,35.3,2,1173.441124,1351.3496966637583,1329.3306981272883,50.13557549084635,12.533893872711587
2021-05-08 12:30:00,1346.306576,51.55325018,66.18,0,35.95,8.95,12,30,5,5,1,0,1456.091044,1168.505564,34.93,2,1168.505564,1350.9016896277294,1328.889990953238,69.66634018704735,17.41658504676184
2021-05-08 12:45:00,1347.241192,51.35428385,66.39,0,35.86,8.86,12,45,5,5,1,0,1449.344284,1175.996584,34.86,2,1175.996584,1351.529044088225,1329.5071232506757,70.936274997297,17.73406874932425
2021-05-08 13:00:00,1347.013356,51.05748992,66.8,0,35.71,8.71,13,0,5,5,1,0,1440.100948,1173.300624,34.81,2,1173.300624,1369.3280530905772,1347.016113796561,0.005515593122254359,0.0027577965611271793
2021-05-08 13:15:00,1340.104448,51.26857682,66.91,0,35.75,8.75,13,15,5,5,1,0,1422.129388,1172.225848,35.02,2,1172.225848,1364.4381823376978,1342.2059189833863,4.202941966772414,2.101470983386207
2021-05-08 13:30:00,1344.367408,50.79990257,67.28,0,35.56,8.56,13,30,5,5,1,0,1420.804944,1193.095936,35.28,2,1193.095936,1364.4149078518728,1342.183023733869,8.737537064524076,2.184384266131019
